Key,Value
about_internal_strings,Esta colección de tablas de cadenas almacena texto que estaba codificado en FALL.EXE y texto único de Daggerfall Unity.
pleaseSelectYourHomeProvince,"Por favor, selecciona tu provincia de origen..."
saveGame,Guardar partida
loadGame,Cargar partida
thingJustDied,%s acaba de morir.
gameSaved,Partida guardada.
gameLoaded,Partida cargada.
thisHouseHasNothingOfValue,Esta casa no tiene nada de valor.
findLocationPrompt,Introduce el nombre del lugar: 
rightHandEquipped,Mano derecha equipada.
leftHandEquipped,Mano izquierda equipada.
usingRightHand,Usando arma en la mano derecha.
usingLeftHand,Usando arma en la mano izquierda.
itemHasBroken,%s se ha roto.
itemHasBrokenPlural,%s se han roto.
cannotCarryGold,No puedes cargar con tanto oro.
cannotFloat,Llevas demasiado peso para mantenerte a flote.
youHaveNoArrows,No tienes flechas.
oldSaveNoTrade,"Carga de guardado interior antiguo; la ventana de comercio no funcionará. Por favor, sal y vuelve a entrar al edificio."
theBodyHasNoTreasure,El cuerpo no tiene tesoros.
youAreTooFarAway,Estás demasiado lejos...
youSeeAn,Ves un %s.
youSeeA,Ves una %s.
youSeeADeadPerson,Ves a una persona muerta.
youSeeADead,Ves un %s muerto.
youCollectArrows,Recoges tus flechas del cadáver.
loiterHowManyHours,Horas de espera: 
restHowManyHours,Horas de descanso: 
potionRecipeFor,Receta para Poción de %po
potionRecipeWeight,Peso: %kg kilogramos
potionOf,Poción de %po
letterPrefix,Carta: 
multipleAssignments,Tienes varias tareas...
youAreEntering,Estás entrando en %s
storeClosed,La tienda está cerrada. Abre de %d1:00 a %d2:00.
guildClosed,El gremio está cerrado. Abre de %d1:00 a %d2:00.
any,Cualquier %s
arkayDesc,Dios del Nacimiento y la Muerte
zenDesc,Dios del Trabajo y el Comercio
maraDesc,Diosa del Amor
akatoshDesc,Dios del Tiempo
julianosDesc,Dios de la Lógica
dibellaDesc,Diosa de la Belleza
stendarDesc,Dios de la Misericordia
kynarethDesc,Diosa del Aire
interactionIsNowInMode,El modo de interacción es ahora %s.
steal,robar
grab,agarrar
info,info
dialogue,diálogo
residence,Residencia
youSee,Ves %s.
theNamedResidence,Residencia %s
playerResidence,Casa de %s
materialIneffective,El material del arma que estás usando es ineficaz.
successfulBackstab,¡Puñalada por la espalda con éxito!
languagePacified,Pacificado %e usando la habilidad %s.
lockpickingSuccess,La cerradura se abre con un clic.
lockpickingFailure,No se desbloquea.
magicLock,Esta es una cerradura sellada mágicamente...
lockpickChance1,Esta cerradura no tiene nada que temerte...
lockpickChance2,Sería un milagro si forzaras esta cerradura...
lockpickChance3,Esta cerradura parece estar más allá de tus habilidades...
buildingNames,"Templo de Akatosh
Templo de Arkay
Templo de Dibella
Templo de Julianos
Templo de Kynareth
Templo de Mara
Templo de Stendarr
Templo de Zen
Orden del Cuervo
Caballeros del Dragón
Caballeros del Búho
Orden de la Vela
Caballeros de la Llama
Hueste del Cuerno
Caballeros de la Rosa
Caballeros de la Rueda
Orden del Escarabajo
Caballeros del Halcón
Gremio de Magos
Gremio de Luchadores
Taberna
Biblioteca
Forja de Armas
Armería
Alquimista
Banco
Librería
Tienda de ropa
Tienda de gemas
Casa de empeños"
lockpickChance,"Dudas de tu habilidad para abrir esta cerradura...
Esta cerradura parece difícil...
Esta cerradura sería un reto para ti...
Esta cerradura resultaría ser un buen desafío...
Crees que deberías ser capaz de forzar esta cerradura...
Esta cerradura parece relativamente fácil...
Esta cerradura te resulta graciosa...
Te ríes de la calidad amateur de esta cerradura...
Ves una excusa patética de cerradura...
Esta cerradura es un insulto a tus habilidades..."
youPinchedGoldPiece,Has mangado 1 pieza de oro.
youPinchedGoldPieces,Has mangado %d piezas de oro.
youAreNotSuccessful,No has tenido éxito...
daysUntilFreedom,%d días para la libertad.
skillImprove,Tu habilidad de %s ha mejorado.
mustDistributeBonusPoints,Debes distribuir todos los puntos de bonificación.
enterNewName,Introduce un nuevo nombre: 
affiliation,Afiliación
rank,Rango
serviceQuests,Pedir misión
serviceSell,Vender
serviceBanking,Banca
serviceIdentify,Identificar
serviceBuySpells,Comprar hechizos
serviceTraining,Entrenamiento
serviceTeleport,Teletransportación
serviceMakeSpells,Crear hechizos
serviceBuyMagicItems,Comprar objetos mágicos
serviceSellMagicItems,Vender objetos mágicos
serviceDaedraSummon,Invocación Daedra
serviceMakeMagicItems,Crear objetos mágicos
serviceRepairs,Reparaciones
serviceDonate,Hacer donación
serviceCure,Curar enfermedad
serviceSpymaster,Maestro de espías
serviceMakePotions,Crear pociones
serviceBuyPotions,Comprar pociones
serviceBuySoulgems,Comprar gemas de alma
serviceReceiveArmor,Recibir armadura
serviceReceiveHouse,Recibir casa
serviceReceiveHouseAlready,Ya has recibido tu casa.
accessMembersOnly,Necesitas ser un miembro con rango suficiente para acceder a esto.
serviceCured,Estás curado.
serviceSummonCost1,"%pcn, el coste para que intente una"
serviceSummonCost2,invocación de %dae es de 
serviceSummonCost3, monedas de oro.
roomFreeForKnightSuchAsYou,La habitación es gratuita para un caballero como tú.
roomFreeDueToHeartsDay,La habitación es gratuita debido al Día del Corazón.
youAreNotHungry,No tienes hambre.
exhaustedInWater,La fatiga te vence y te envía a una tumba acuática...
youFeelSomewhatBad,Te sientes algo mal.
avoidDeath,"¡Por la misericordia de Stendarr, sobrevives a una muerte segura!"
pronounHe,él
pronounShe,ella
pronounHim,él (acusativo)
pronounHer,ella (acusativo)
pronounHis,su (de él)
pronounHers,su (de ella)
pronounHimself,él mismo
pronounHerself,ella misma
city,ciudad
village,aldea
hamlet,pueblito
farm,granja
shack,choza
manor,mansión
community,comunidad
shrine,santuario
King,Rey
Queen,Reina
Duke,Duque
Duchess,Duquesa
Marquis,Marqués
Marquise,Marquesa
Count,Conde
Countess,Condesa
Baron,Barón
Baroness,Baronesa
Lord,Lord
Lady,Lady
revered,reverenciado
esteemed,estimado
honored,honrado
admired,admirado
respected,respetado
dependable,fiable
aCommonCitizen,un ciudadano común
hated,odiado
pondScum,escoria
aVillain,un villano
aCriminal,un criminal
aScoundrel,un canalla
undependable,poco fiable
unknown,desconocido
Broken,Roto
Useless,Inútil
Battered,Dañado
Worn,Desgastado
Used,Usado
SlightlyUsed,Poco usado
AlmostNew,Casi nuevo
New,Nuevo
Nothing,Nada
local,local
tavern,taberna
Attempted_Breaking_And_Entering,Intento de allanamiento
Trespassing,Invasión de propiedad
Breaking_And_Entering,Allanamiento de morada
Assault,Asalto
Murder,Asesinato
Tax_Evasion,Evasión de impuestos
Criminal_Conspiracy,Conspiración criminal
Vagrancy,Vagancia
Smuggling,Contrabando
Piracy,Piratería
High_Treason,Alta traición
Pickpocketing,Robo de carteras
Theft,Robo
Treason,Traición
Loan_Default,Impago de préstamo
Regular_Punishment_String,%gtp piezas de oro en multas y %dip días de prisión
Banishment,Destierro
Execution,Ejecución
cannotChangeTransportationIndoors,No puedes cambiar de transporte en interiores.
cannotTravelWithEnemiesNearby,No puedes viajar con enemigos cerca.
cannotTravelIndoors,No puedes viajar mientras estés en interiores.
powersUnknown,Poderes desconocidos.
itemPowers,"Lanza al usar:
Lanza al llevar:
Lanza al golpear:
Puntos de hechizo extra
Potente contra
Regenera salud
Efecto vampírico
Capacidad de carga aumentada
Repara objetos
Absorbe hechizos
Mejora habilidad
Peso pluma
Refuerza armadura
Mejora talentos
Buena rep. con
Alma vinculada
El objeto se deteriora
El usuario recibe daño
Problemas de visión
Problemas al caminar
Poco daño contra
Drenaje de salud
Malas reacciones de
Peso extra
Debilita armadura
Mala rep. con"
enemyNames,"Rata
Diablillo
Spriggan
Murciélago gigante
Oso grizzly
Tigre dientes de sable
Araña
Orco
Centauro
Hombre lobo
Ninfa
Pez asesino
Sargento orco
Harpía
Jabalí hombre
Guerrero esquelético
Gigante
Zombi
Fantasma
Momia
Escorpión gigante
Chamán orco
Gárgola
Espectro
Caudillo orco
Daedra de la escarcha
Daedra de fuego
Daedroth
Vampiro
Seductora daedra
Vampiro anciano
Señor daedra
Liche
Liche anciano
Dragonling
Atronach de fuego
Atronach de hierro
Atronach de carne
Atronach de escarcha
Caballo
Dragonling
Dreugh
Lamia
Mago
Espadachín arcano
Mago de batalla
Hechicero
Sanador
Hoja nocturna
Bardo
Salteador
Pícaro
Acróbata
Ladrón
Asesino
Monje
Arquero
Montaraz
Bárbaro
Guerrero
Caballero
Guardia de la ciudad"
extraSpellPtsTimes,"durante el invierno
durante la primavera
durante el verano
durante el otoño
con luna llena
con media luna
con luna nueva
cerca de muertos vivientes
cerca de daedra
cerca de humanoides
cerca de animales"
regensHealthTimes,"todo el tiempo
bajo la luz del sol
en la oscuridad"
vampiricEffectRanges,"a distancia
al golpear"
increasedWeightAllowances,"25% adicional
50% adicional"
improvedTalents,"oído
atletismo
subidón de adrenalina"
itemDeteriorateLocations,"todo el tiempo
bajo la luz del sol
en lugares sagrados"
userTakesDamageLocations,"bajo la luz del sol
en lugares sagrados"
enemyGroupNames,"muertos vivientes
Daedra
humanoides
animales"
healthLeechStopConditions,"siempre que se use
a menos que se use a diario
a menos que se use semanalmente"
badReactionFromEnemyGroups,"humanoides
animales
Daedra"
repWithGroups,"Plebeyos
Mercaderes
Eruditos
Nobleza
Bajos fondos
Todos"
youReceiveGoldPieces,Recibes %s piezas de oro.
bankPurchasePrice,Precio: %s oro
youHaveRentedRoom,Tienes una habitación en %s por %d horas.
haveNotRentedRoom,No has alquilado una habitación aquí.
expiredRentedRoom,Tu tiempo en esta habitación ha expirado.
tavernAle,Ale (1 oro)
tavernBeer,Cerveza (1 oro)
tavernMead,Hidromiel (2 oro)
tavernWine,Vino (3 oro)
tavernBread,Pan (1 oro)
tavernBroth,Caldo (1 oro)
tavernCheese,Queso (2 oro)
tavernFowl,Aves (3 oro)
tavernGruel,Gachas (2 oro)
tavernPie,Pastel (2 oro)
tavernStew,Estofado (3 oro)
pressButtonToFireSpell,Pulsa el botón para lanzar el hechizo.
climbingMode,Modo escalada.
rappelMode,Modo rápel.
hangingMode,Modo colgado
acuteHearing,Oído agudo
adrenalineRush,Subidón de adrenalina
athleticism,Atletismo
bonusToHit,Bonificación al golpear
expertiseIn,Maestría en
immunity,Inmunidad
increasedMagery,Magia aumentada
rapidHealing,Curación rápida
regenerateHealth,Regenerar salud
resistance,Resistencia
spellAbsorption,Absorción de hechizos
animals,Animales
daedra,Daedra
humanoid,Humanoides
undead,Muertos vivientes
axe,Hacha
bluntWeapon,Arma contundente
handToHand,Mano a mano
longBlade,Hoja larga
missileWeapon,Arma de proyectil
shortBlade,Hoja corta
toDisease,A las enfermedades
toFire,Al fuego
toFrost,A la escarcha
toMagic,A la magia
toParalysis,A la parálisis
toPoison,Al veneno
toShock,A la descarga
intInSpellPoints15,1.5X INT en puntos de hechizo
intInSpellPoints175,1.75X INT en puntos de hechizo
intInSpellPoints2,2X INT en puntos de hechizo
intInSpellPoints3,3X INT en puntos de hechizo
intInSpellPoints,INT en puntos de hechizo
general,General
inDarkness,En la oscuridad
inLight,En la luz
whileImmersed,Sumergido en agua
criticalWeakness,Debilidad crítica
damage,Daño
darknessPoweredMagery,Magia potenciada por la oscuridad
forbiddenArmorType,Tipo de armadura prohibida
forbiddenMaterial,Material prohibido
forbiddenShieldTypes,Tipos de escudo prohibidos
forbiddenWeaponry,Armamento prohibido
inabilityToRegen,Incapacidad para regen. puntos de hechizo
lightPoweredMagery,Magia potenciada por la luz
lowTolerance,Baja tolerancia
phobia,Fobia
fromHolyPlaces,De lugares sagrados
fromSunlight,De la luz solar
lowerMagicAbilityDaylight,Menor habilidad mágica con luz diurna
unableToUseMagicInDaylight,Incapaz de usar magia con luz diurna
chain,Cota de malla
leather,Cuero
plate,Placas
adamantium,Adamantium
daedric,Daédrico
dwarven,Enano
ebony,Ébano
elven,Élfico
iron,Hierro
mithril,Mithril
orcish,Órquico
silver,Plata
steel,Acero
buckler,Bocací
kiteShield,Escudo de lágrima
roundShield,Escudo redondo
towerShield,Escudo de torre
lowerMagicAbilityDarkness,Menor habilidad mágica en la oscuridad
unableToUseMagicInDarkness,Incapaz de usar magia en la oscuridad
helpAttributes,Atributos
helpClassName,Nombre de la clase
helpGeneral,General
helpReputations,Reputaciones
helpSkillAdvancement,Progreso de habilidades
helpSkills,Habilidades
helpSpecialAdvantages,Ventajas especiales
helpSpecialDisadvantages,Desventajas especiales
lower,Menor
higher,Mayor
unchanged,Sin cambios
elsweyr,Elsweyr
blackMarsh,Pantano Negro
hammerfell,Páramo del Martillo
highRock,Roca Alta
morrowind,Morrowind
skyrim,Skyrim
sumurset,Estivalia
valenwood,Bosque Valen
rollingHills,colinas onduladas
desertLand,tierras desérticas
mountains,montañas
swamps,pantanos
forests,bosques
shores,costas
medical,Médico
etiquette,Etiqueta
streetwise,Callejero
jumping,Saltar
harpy,Harpía
giantish,Gigante
dragonish,Dragón
nymph,Ninfa
aedric,Daédrico
spriggan,Spriggan
centaurian,Centauro
impish,Diablillo
lockpicking,Seguridad
mercantile,Mercantil
pickpocket,Robar
stealth,Sigilo
swimming,Natación
climbing,Escalada
backstabbing,Puñalada por la espalda
dodging,Esquivar
running,Correr
destruction,Destrucción
restoration,Restauración
illusion,Ilusión
alteration,Alteración
thaumaturgy,Taumaturgia
mysticism,Misticismo
archery,Arquería
criticalStrike,Golpe crítico
strength,Fuerza
intelligence,Inteligencia
willpower,Voluntad
agility,Agilidad
endurance,Resistencia
personality,Personalidad
speed,Velocidad
luck,Suerte
STR,FUE
INT,INT
WIL,VOL
AGI,AGI
END,RES
PER,PER
SPD,VEL
LUC,SUE
breton,Bretón
redguard,Guardia Roja
darkElf,Elfo Oscuro
highElf,Alto Elfo
woodElf,Elfo del Bosque
khajiit,Khajiita
argonian,Argoniano
vampire,Vampiro
werewolf,Hombre lobo
wereboar,Jabalí hombre
vraseth,Vraseth
haarvenu,Haarvenu
thrafey,Thrafey
lyrezi,Lyrezi
montalion,Montalion
khulari,Khulari
garlythi,Garlythi
anthotis,Anthotis
selenu,Selenu
lockedExteriorDoor,Cerrado.
canOnlyCastOncePerDay,Solo se puede lanzar una vez al día...
youNeedToHuntTheInnocent,Sientes la necesidad de cazar a los inocentes...
youDreamOfTheMoon,"Sueñas, una vez más, con la luna..."
inventoryWhileShapechanged,No puedes acceder al inventario mientras has cambiado de forma...
youGetNoResponse,No obtienes respuesta.
copyLogbookInfo,Clic izq: activar copia de texto seleccionado. Clic der: copiar toda la conversación.
east,este
northeast,noreste
north,norte
northwest,noroeste
west,oeste
southwest,suroeste
south,sur
southeast,sureste
thisPlace,este lugar
AnyNews,¿Alguna noticia?
WhereAmI,¿Dónde estoy?
AnswerTextWhereAmI,"Estás en {0}, en {1}."
YouAreInSameBuilding,Has encontrado {0}. Estás dentro.
NpcInSameBuilding,"{0} está por aquí, en {1}."
PreviousList,Lista anterior
General,General
Regional,Regional
Alchemists,Alquimistas
Armorers,Armeros
Banks,Bancos
Bookstores,Librerías
Clothingstores,Tiendas de ropa
Gemstores,Tiendas de gemas
Generalstores,Almacenes generales
Guilds,Gremios
Libraries,Bibliotecas
Pawnshops,Casas de empeño
Taverns,Tabernas
Weaponsmiths,Forjas de armas
Localtemples,Templos locales
Sir,Señor
Ma'am,Señora
oldLeaderFate0,murió de un fallo cardíaco
oldLeaderFate1,se cayó y se golpeó la cabeza
oldLeaderFate2,murió de la peste
oldLeaderFate3,dimitió bajo presión
oldLeaderFate4,fue derrocado
oldLeaderFate5,fue hallado asesinado en su cama
toBeReplacedStringRegional,Cualquiera
replacementStringRegional,cualquiera
comma,",  "
resolvingError,...no importa...
chameleon,Camaleón
charm,Hechizo
comprehendLanguages,Comprender lenguajes
continuousDamage,Daño continuo
createItem,Crear objeto
cure,Curar
detect,Detectar
disintegrate,Desintegrar
dispel,Disipar
drain,Drenar
elementalResistance,Resistencia elemental
fortifyAttribute,Fortificar atributo
freeAction,Acción libre
heal,Curar
identify,Identificar
invisibility,Invisibilidad
levitate,Levitar
light,Luz
lock,Cerrar
morphSelf,Metamorfosis
open,Abrir
pacify,Pacificar
paralyze,Paralizar
regenerate,Regenerar
shadow,Sombra
shield,Escudo
silence,Silencio
slowfall,Caída lenta
soulTrap,Trampa de alma
spellReflection,Reflexión de hechizos
spellResistance,Resistencia a hechizos
teleport,Teletransporte
transfer,Transferencia
waterBreathing,Respiración acuática
waterWalking,Caminar sobre el agua
fire,Fuego
frost,Escarcha
magicka,Magia
poison,Veneno
shock,Descarga
enemy,Enemigo
magic,Magia
treasure,Tesoro
fatigue,Fatiga
health,Salud
spellPoints,Puntos de hechizo
disease,Enfermedad
paralyzation,Parálisis
animal,Animal
normal,Normal
TRUE,VERDADERO
noName,<sin-nombre>
youDontHaveTheSpellPoints,No tienes suficientes puntos de hechizo.
youAreSilenced,Has sido silenciado.
youAreParalyzed,Estás paralizado.
youFeelDrained,Te sientes drenado.
youAreFortified,Estás fortificado.
youAreInvisible,Eres invisible.
youAreLevitating,Estás levitando.
youAreRegenerating,Te estás regenerando.
youAreBlending,Te estás camuflando.
youAreAShade,Eres una sombra.
slowFallActive,Caída lenta activa.
saveVersusSpellMade,Tirada de salvación contra hechizo superada.
spellEffectFailed,El efecto del hechizo falló.
spellAbsorbed,El hechizo fue absorbido.
spellReflected,El hechizo fue reflejado.
spellResisted,El hechizo fue resistido.
readyToLock,Listo para cerrar.
readyToOpen,Listo para abrir.
doorLocked,La puerta ahora está cerrada.
doorAlreadyLocked,La puerta ya estaba cerrada.
openFailed,La cerradura es demasiado poderosa.
noSpellbook,¡No tienes libro de hechizos!
sunlightDamageFastTravelDay,No puedes iniciar un viaje rápido durante el día.
trapActive,Trampa activa.
trapHumanoid,La trampa no funcionará con humanoides.
trapSuccess,Alma atrapada.
trapFail,La trampa falló.
trapNoneEmpty,¡No tienes trampas de alma vacías!
stamina,Aguante
orcStrength,Fuerza de orco
healing,Sanación
restorePower,Restaurar poder
resistFire,Resistir fuego
resistFrost,Resistir escarcha
resistShock,Resistir descarga
cureDisease,Curar enfermedad
slowFalling,Caída lenta
healTrue,Sanación verdadera
levitation,Levitación
resistPoison,Resistir veneno
curePoison,Curar veneno
chameleonForm,Forma de camaleón
shadowForm,Forma de sombra
purification,Purificación
LeatherCuirass,Coraza de cuero
LeatherGauntlets,Guanteletes de cuero
LeatherGreaves,Grebas de cuero
LeatherLeftPauldron,Hombrera izquierda de cuero
LeatherRightPauldron,Hombrera derecha de cuero
LeatherHelm,Yelmo de cuero
LeatherBoots,Botas de cuero
ChainCuirass,Coraza de malla
ChainGauntlets,Guanteletes de malla
ChainGreaves,Grebas de malla
ChainLeftPauldron,Hombrera izquierda de malla
ChainRightPauldron,Hombrera derecha de malla
ChainHelm,Yelmo de malla
ChainBoots,Botas de malla
SteelCuirass,Coraza de acero
SteelGauntlets,Guanteletes de acero
SteelGreaves,Grebas de acero
SteelLeftPauldron,Hombrera izquierda de acero
SteelRightPauldron,Hombrera derecha de acero
SteelHelm,Yelmo de acero
SteelBoots,Botas de acero
SteelBuckler,Bocací de acero
SteelDagger,Daga de acero
SteelLongsword,Espada larga de acero
SteelStaff,Bastón de acero
ShortBow,Arco corto
Arrows,Flechas
SteelBattleAxe,Hacha de batalla de acero
Robes,Túnicas
CastWhenUsed,Lanza al usar:
CastWhenHeld,Lanza al llevar:
CastWhenStrikes,Lanza al golpear:
ExtraSpellPts,Puntos de hechizo extra
PotentVs,Potente contra
RegensHealth,Regenera salud
VampiricEffect,Efecto vampírico
IncreasedWeightAllowance,Capacidad de carga aumentada
RepairsObjects,Repara objetos
AbsorbsSpells,Absorbe hechizos
EnhancesSkill,Mejora habilidad
FeatherWeight,Peso pluma
StrengthensArmor,Refuerza la armadura
ImprovesTalents,Mejora talentos
GoodRepWith,Buena rep. con
SoulBound,Alma vinculada
ItemDeteriorates,El objeto se deteriora
UserTakesDamage,El usuario recibe daño
VisionProblems,Problemas de visión
WalkingProblems,Problemas al caminar
LowDamageVs,Poco daño contra
HealthLeech,Drenaje de salud
BadReactionsFrom,Malas reacciones de
ExtraWeight,Peso extra
WeakensArmor,Debilita la armadura
BadRepWith,Mala rep. con
inHolyPlaces,en lugares sagrados
wheneverUsed,siempre que se use
unlessUsedDaily,a menos que se use a diario
unlessUsedWeekly,a menos que se use semanalmente
fromHumanoids,de humanoides
fromAnimals,de animales
fromDaedra,de Daedra
duringWinter,durante el invierno
duringSpring,durante la primavera
duringSummer,durante el verano
duringFall,durante el otoño
duringFullMoon,con luna llena
duringHalfMoon,con media luna
duringNewMoon,con luna nueva
nearUndead,cerca de muertos vivientes
nearDaedra,cerca de daedras
nearHumanoids,cerca de humanoides
nearAnimals,cerca de animales
undeadLower,muertos vivientes
humanoidLower,humanoide
animalsLower,animales
animalsUpper,Animales
allTheTime,todo el tiempo
inSunlight,bajo la luz del sol
inDarknessLower,en la oscuridad
atRange,a distancia
whenStrikes,al golpear
add25Percent,25% adicional
add50Percent,50% adicional
hearing,oído
athleticismLower,atletismo
adrenalineRushLower,subidón de adrenalina
commoners,Plebeyos
merchants,Mercaderes
scholars,Eruditos
nobility,Nobleza
underworld,Bajos fondos
all,Todos
noRoomInItem,No hay espacio en el objeto...
noEnchantments,No has preparado encantamientos para este objeto.
noMonstersNearby,No hay monstruos cerca.
Fire,Fuego
Frost,Escarcha
Poison,Veneno
Shock,Descarga
Magicka,Magia
